coherence_alpha_cost,coherence_alpha_lungime_medie,coherence_alpha_coeficient_clusterizare,coherence_alpha_eficienta_globala,coherence_beta_cost,coherence_beta_lungime_medie,coherence_beta_coeficient_clusterizare,coherence_beta_eficienta_globala,emotie
0.4189482753632323,0.6755163853715987,0.629710640236956,1.7798698574231526,0.32674775396193434,0.428622474460604,0.7326346168451433,2.158298049848449,1.0
0.36582609710457914,0.4621823229191614,0.5936242120452646,1.9611135211058326,0.3206229471474094,0.4041094908510943,0.7317650186071237,2.2542884929279907,1.0
0.3670945246219558,0.4718073534089942,0.6240829346092504,1.932584623813016,0.32089471713927475,0.4159627704927648,0.7125427204374573,2.2385894561529507,1.0
0.376202044937226,0.5790049067493395,0.626368952684742,2.0007036132396223,0.32803153919417816,0.34977982714309935,0.6859497227918281,2.094233095055917,1.0
0.3919905981320167,0.5043746425733279,0.6961871461871462,1.8168401645759196,0.33257968349247913,0.43977673509793097,0.7512285959654381,2.118330031547713,1.0
0.3652900155951526,0.4875002330736981,0.713469279258753,1.9258397798488787,0.30647436088218644,0.4709905183363336,0.678000654316444,2.484276948819285,1.0
0.39014051737392813,0.4805667554492206,0.5685273790536948,1.869396334862902,0.33232746923555395,0.4388598528028179,0.7375814244235297,2.1091094656997877,1.0
0.4138403804644932,0.5527870360434268,0.7014587751429857,1.6804595630669013,0.3567475669664671,0.48083399259968457,0.7175932254879624,1.9480317185867628,1.0
0.3464973221422679,0.4485340501599455,0.635930735930736,2.063315456470932,0.3412032444257026,0.4601131010208515,0.6789093946988685,2.054928340223107,1.0
0.3935249504834185,0.5227784826175912,0.6793384977595502,1.7744334911432895,0.3192783598468896,0.41824532378198837,0.7195719485193169,2.237858448157485,1.0
0.38587087753705723,0.5138283893479141,0.6798163824479613,1.79846159893505,0.35739073561275464,0.4767594676303792,0.6692450824029772,1.948613002849549,1.0
0.36302525463397467,0.4771547830157855,0.6801052748421169,1.9515142078700598,0.3123107416628324,0.39936983515916036,0.7128538128538129,2.3229908535421697,1.0
0.6314735447976221,0.8638617170410966,0.5895581027159974,1.0944559490677173,0.589308166708026,0.4384338569396346,0.6067455935876988,0.9449647024510506,1.0
0.8151417223440168,0.8176345691717766,0.6043176122123489,0.688058270134929,0.6609928578654936,0.6215820889170217,0.6356888725309777,0.8874759801532229,1.0
0.7364725609816483,0.7145021768957767,0.6427417611628138,0.7804763859152244,0.6824000393743607,0.6591049611324331,0.6332270069112175,0.8492219021345166,1.0
0.8030989293510673,0.7796444080650023,0.6470958865695708,0.7087388032477433,0.757728591235274,0.47240124820054236,0.6320451478346216,0.64274178468713,1.0
0.8019976858966292,0.6676106259380027,0.6300675932254878,0.6425862420141005,0.720521885399644,0.5561465501077187,0.6239719344982503,0.7418345976216665,1.0
0.8241025736808791,0.5240004661026381,0.6401364717154191,0.5817283765251219,0.7672012019661881,0.48419335542753267,0.6440904125114651,0.6293641888124499,1.0
0.6830517417835185,0.6518383100760954,0.6427417611628138,0.8569553353877953,0.738429884443684,0.46954603401076395,0.6353655116813011,0.664257988520205,1.0
0.6305475245852065,0.7204153986906873,0.6310595836911627,1.01412898844166,0.6478581997487302,0.4007380180504498,0.6497864708391023,0.768111235955977,1.0
0.7576922015616236,0.753863185178255,0.5818941292625502,0.7523189108418029,0.7976807893703576,0.5066442526326702,0.6443439601334338,0.6026784626788054,1.0
0.8254608224066644,0.822694620643567,0.6638399612083822,0.6806448561723882,0.7620756883609008,0.7513451659454711,0.6672742462216145,0.7460477309450473,1.0
0.8095220008195719,0.5123078747548262,0.6538467380572645,0.5953741017757141,0.765367229115437,0.4819004979292288,0.648085248085248,0.6336859187728475,1.0
0.7626390062241335,0.614157268652442,0.6419042945358735,0.6905359913939042,0.8260030348149582,0.5258853543727049,0.6632139790034526,0.5791090905030716,1.0
0.8397508487736092,0.6846893520196344,0.5922077922077921,0.6167666245745144,0.7832106270362189,0.4928422540022663,0.6530019687914425,0.6177006800993671,1.0
0.7687603640853332,0.4802668726421006,0.6274722353669722,0.6356064019520875,0.8003106144221267,0.5065715050796744,0.6508298718825035,0.601120501358188,1.0
0.7636587782683053,0.9036165818381238,0.6963849016480597,0.8017135003193409,0.714305534327227,0.6746208147761555,0.6697869382079908,0.81637714890841,1.0
0.8591354437859939,0.8339744397126752,0.7074448942869996,0.6554010797377249,0.798577887499328,0.7725921209957001,0.6617668880826775,0.7125263594679677,1.0
0.8376521625168003,0.9981941739084358,0.6427747690905585,0.7233844609676835,0.8018934396215558,0.7672260038783182,0.702146683725631,0.7112351090011374,1.0
0.8638219388680886,0.8446321324544087,0.6936838015785385,0.6497697544941811,0.7508958152630022,0.8634622323863783,0.643716517400728,0.8291115339753654,1.0
0.8469369958259256,0.8387253427072658,0.6381215275952118,0.6612881792976991,0.7343270023319455,0.9927801118699984,0.6250153355416513,0.9192531109055357,1.0
0.7890618218253982,0.913663667878357,0.6648833622517833,0.7810378818057229,0.7553381633117319,0.8556587422453232,0.6921622237411711,0.8259793975082989,1.0
0.8802801542517777,0.8757447478522736,0.6627790338316654,0.6324773865546547,0.7780275913850021,0.895966348286305,0.6571218255428782,0.7939062546009448,1.0
0.8624429539287455,0.8433658279375579,0.6784791232159654,0.6506109476043412,0.7680282250690846,0.8819062032571758,0.6466442913811334,0.807521231759704,1.0
0.8279606562615195,0.8155205524999575,0.6445466813887867,0.6785193426344853,0.72450775192935,0.8371336636764078,0.6039279434016276,0.8614018704371189,1.0
0.7004952450963741,1.1678101070325926,0.7173767752715121,1.0208431633708077,0.70932424932294,1.1888561869898384,0.6245961640698482,1.0015864436069986,1.0
0.740829587154217,1.3253238275791206,0.709482038429407,0.9350233386404057,0.7373584777597962,0.9272051259876586,0.665508468140047,0.8272866713147702,1.0
0.695813937961511,1.2321145854043352,0.7506683375104428,1.0099698734906117,0.6805529474307043,0.9639917024178026,0.6869446343130553,0.9791238475403461,1.0
0.7101165013630668,1.2452403507772487,0.7224310776942356,0.989915367009761,0.7099211172173893,1.0150267870714829,0.6627629680261258,0.9378361704229582,1.0
0.6997782298115034,1.2299989574881565,0.7176691729323309,1.0013050018052987,0.6731791326479061,0.6512933979772952,0.6957051720209616,0.8626021498926947,1.0
0.6945583888664243,1.1890648714261005,0.7259816207184627,1.0253893287207483,0.6026663399854352,0.6880539439324572,0.6938026885395306,1.0654891143607752,1.0
0.6592270202895427,0.9262032717429962,0.7053049289891395,1.0215135248558482,0.5745612638368137,0.7558909659444943,0.6633059922533606,1.2197716331563477,1.0
0.680137414067665,1.1590854055566586,0.7018910913647756,1.0446428228369593,0.698971706424788,1.0185983829867689,0.6890635680109366,0.9387679212032028,1.0
0.7885272694913691,1.167035025566858,0.6719374193058404,0.8217234312421332,0.7423311416736907,1.3664952215803068,0.7056353003721425,0.9267092890430637,1.0
0.499273185617214,0.5143442253196553,0.5698108908635225,1.391318648628738,0.6715646060846469,0.4159363650353026,0.6234736024209709,0.732019530567235,1.0
0.6248911962360318,0.7129918780257694,0.633692331060752,1.021119549723506,0.8054557977331989,0.5161108413625615,0.6372142477405636,0.5922204813087967,1.0
0.5163074257722885,0.6265920516185177,0.5439887597782335,1.4511967111326016,0.6910008123130307,0.42994518337081417,0.6234736024209709,0.7076500702255116,1.0
0.4830197694167918,0.6904019337245247,0.582866256550467,1.6627049692663851,0.5986134072163111,0.35923839271687574,0.6234736024209709,0.8555451145727295,1.0
0.4508264180788855,0.5412309171525983,0.5986595276068961,1.6771594564192578,0.5581481917331151,0.532966216899214,0.6297258297258296,1.0734922456966967,1.0
0.46760238331121395,0.48642699108386145,0.5844269765322396,1.4737922418771332,0.658476361442809,0.5165491493287139,0.6381650513229462,0.8085103227043415,1.0
0.4695204813807462,0.5769258296919451,0.6211437685121894,1.5944975842776798,0.5952549687452338,0.3577106925429183,0.6178315836210574,0.8590991236662656,1.0
0.45248965168941274,0.5534832905768274,0.5299802536644642,1.652692718462142,0.5586029308054298,0.408989236976919,0.6436370646896963,1.0215828453677473,1.0
0.6152398496422269,0.5772264716126866,0.6746373509531405,0.9677039643727413,0.7961338393864807,0.5069994953569595,0.6272186877450036,0.6006313335012283,1.0
0.505687082417123,0.5327186643267656,0.5443343206501102,1.3367848422153203,0.6950053422866215,0.5495592145833206,0.6447383026330397,0.7612067517462588,1.0
0.48667827708981426,0.6195275409721275,0.7519877783035678,1.4796768343598103,0.5611981042117566,0.5158472042975831,0.6668007431165326,1.0770345258930305,1.0
0.48238259296687774,0.6214544894054922,0.7024551471919892,1.4809291775300653,0.5666282328545948,0.5140573194253106,0.6755122070911546,1.0694068586140255,1.0
0.48521796134020184,0.6209624592522056,0.7567727594043384,1.472600287609002,0.5384249687832755,0.4751521053613714,0.7101728680676049,1.1690113285022996,1.0
0.4688094468117544,0.5963971847368866,0.7314130314130314,1.5378013371471466,0.5723393923215278,0.5320675715637033,0.6231426468268574,1.0523533028541616,1.0
0.39941276751254595,0.6018498804417998,0.6640669272248222,1.961997600957159,0.48432878666328605,0.5511028662473653,0.6157772052508895,1.3358535450345532,1.0
