WPLI_alpha_cost,WPLI_alpha_lungime_medie,WPLI_alpha_coeficient_clusterizare,WPLI_alpha_eficienta_globala,WPLI_beta_cost,WPLI_beta_lungime_medie,WPLI_beta_coeficient_clusterizare,WPLI_beta_eficienta_globala,emotie
0.1336906571858474,0.1909846330078881,0.4010509957878378,5.946032573002451,0.0795582081447739,0.1169042787218013,0.4284992784992785,9.805396312932862,1.0
0.0771540294108141,0.1095007596928195,0.525366446419078,10.403920010196543,0.0604121936287788,0.0903170020714777,0.434001670843776,12.56301525288814,1.0
0.2229640548736158,0.3458479073886926,0.3133331580700002,3.2941825435832808,0.1176812892393763,0.1728455088328677,0.5190990296253455,6.610669730912781,1.0
0.0935165090009363,0.1414907373737477,0.5238545080650345,8.046342002957843,0.0910089093251254,0.1337548486441977,0.4830029619503304,8.547355122838143,1.0
0.0880613526679919,0.125794885285165,0.3948507632718159,9.044050717131093,0.0622544357423348,0.0861918315174027,0.4649122807017544,13.096685130777626,1.0
0.1367200681917694,0.1814603191383833,0.4586232480969323,4.967261833108023,0.0604276455298449,0.0811767091793272,0.6034310718521245,14.40194010964956,1.0
0.1303994746307643,0.1829982593975065,0.4770790612895876,6.185980191281878,0.0604006326557401,0.0865757651172627,0.4664502164502164,13.179972983875423,1.0
0.0913680941382864,0.1271002600610684,0.5299008009534325,8.965903236744888,0.0473963845504592,0.065426994913251,0.3974329763803448,17.351257916427116,1.0
0.1019214512612979,0.1434157648378865,0.466214779372674,7.880378170574282,0.0568795848415091,0.083095271830923,0.4449608870661502,13.747564786612337,1.0
0.2146418764151595,0.3236242525160104,0.3903774587985114,3.536131729488209,0.0712042267997787,0.1020063430558981,0.5190168190942184,10.860658424545854,1.0
0.1234509562162696,0.1726408654399682,0.5345560871876662,6.57029427689485,0.0545165020231927,0.0756334055712012,0.4458001063264221,15.076852351173583,1.0
0.1765768790551379,0.275428242159321,0.5444254575833524,4.212656964927549,0.0875229749700547,0.1278266557454533,0.5707955786903156,9.050570427543487,1.0
0.0733005453689125,0.1130289049774895,0.5522873325504905,10.685083403700103,0.0383217008778998,0.0556966876382868,0.5714858241174031,20.439632249587152,1.0
0.1076419330478529,0.1502876489885174,0.4680465733097311,7.563843671949269,0.070196170007082,0.1029501389469057,0.5523000391421444,11.096610699721698,1.0
0.0905164025296642,0.1330048732750451,0.6319061055903161,8.632746784381364,0.0583098766272896,0.071593880045582,0.5463115831536884,12.586386248515527,1.0
0.1020904190398061,0.1470286247327439,0.53907875749981,7.769256585964952,0.0761273453861156,0.1126926372178381,0.4627401837928154,10.022441883368684,1.0
0.1413411106722582,0.211481403273944,0.5107871660503239,5.382230797628388,0.0561825970068219,0.0760149128382998,0.5448089921774132,14.996914476510725,1.0
